cust_ID,first_name,last_name,address,phone
CUST001,Johnny,George,"31451 Thomas Fords, South Joseph, WA 09543",(782) 441-3373
CUST002,Kathleen,Sandoval,"6268 Johnson Underpass Apt. 554, Deborahhaven, WI 24029", (864) 208-2616
CUST003,April,Gaines,"759 Mayer Port Suite 712, Shannonhaven, KY 77497", (450) 957-9519
CUST004,Wesley,Clark,"8548 Kayla Junction, West Willie, DC 28550",(737) 810-9203
CUST005,Karen,Conrad,"139 Hunter Plains, West Thomasborough, IN 15416",(719) 095-3321
CUST006,Mary,Perez,"3954 Kim Spring Suite 953, Port Taylorbury, KY 81873",(309) 980-5954
CUST007,Timothy,Williams,"24795 Salas Fork, Dakotashire, SC 21170",(605) 085-6257
CUST008,Eric,Ross,"3293 Grant Islands, West Kevinfort, WV 20005",(867) 589-2133
CUST009,Ashley,Thompson,"21447 Suzanne Loop, West Sandra, KS 79607",(608) 205-0638
CUST010,Hannah,Sullivan,"8685 Russell Tunnel, South Brittany, OK 70895",(402) 140-2238
CUST011,Margaret,Sharp,"46441 Davies Parkway Apt. 585, Kendrafort, AK 67706",(365) 462-3203
CUST012,Crystal,Bradley,"607 White Court, South Joe, OH 59918",(806) 256-6467
CUST013,Sara,Knapp,"16347 Sanchez Trail, New Julia, MI 17087",(507) 527-0226
CUST014,James,Love,"3269 Phillips Crossing, Mckinneystad, AR 19060",(573) 651-2229
CUST015,Kim,Avery,"4293 Troy Villages, North Beckyfurt, MS 22411",(385) 240-9838
CUST016,Meredith,Odonnell,"5098 Blackwell Light Suite 304, Stevenfort, TX 82963",(640) 004-0664
CUST017,Susan,Crawford,"623 Woods Causeway, Michelleville, OR 41716",(509) 113-3885
CUST018,Ann,Smith,"54959 English Island, West Michaelburgh, GA 11860",(530) 906-9002
CUST019,Heather,Leonard,"4125 Costa Plains Suite 308, Michaelburgh, KS 06812",(407) 714-5250
CUST020,Michelle,Erickson,"6234 Benjamin Plain, East James, PA 08058",(210) 160-0282
CUST021,Robert,Norris,"52458 Davis Isle Suite 191, Stephanieburgh, KY 97845",(220) 977-9222
CUST022,Elizabeth,Lester,"PSC 6930, Box 7886, APO AE 49100",(406) 933-0066
CUST023,Jennifer,Armstrong,"USNV Leon, FPO AE 40077",(475) 663-4173
CUST024,Sarah,Kennedy,"535 Mason Village Suite 788, Pageville, ND 98871",(619) 741-7504
CUST025,Sonya,King,"5790 Simpson Hills Apt. 323, Port Robert, IA 99126",(980) 096-4044
CUST026,Robert,Hill,"76561 Ward Overpass, Wallaceton, UT 11961",(320) 184-2023
CUST027,Angela,Cole,"15771 Mcdonald Shoal Suite 224, Olsonshire, VA 04300", (847) 301-5252
CUST028,Ronald,Mitchell,"239 James Place Suite 976, Youngport, ND 78691", (315) 473-2121
CUST029,Mario,Mcneil,"909 Emily Hill, Scottfort, PA 45626", (347) 463-7271
CUST030,Chad,Reeves,"0598 Forbes Point, Port George, AR 86119",(681) 851-7070
